31 	 234 	 is_a
32 	 234 	 is_a
33 	 4434 	 is_a
35 	 4434 	 is_a
37 	 11177 	 is_a
37 	 39166 	 is_a
38 	 10998 	 is_a
39 	 61 	 is_a
40 	 11088 	 is_a
43 	 3673 	 is_a
45 	 3694 	 is_a
58 	 61 	 is_a
61 	 11081 	 is_a
62 	 11064 	 is_a
64 	 61 	 is_a
65 	 11128 	 is_a
65 	 12586 	 is_a
66 	 4479 	 is_a
67 	 23091 	 is_a
67 	 39172 	 is_a
70 	 4390 	 is_a
76 	 5057 	 is_a
77 	 11078 	 is_a
78 	 2899 	 is_a
89 	 16394 	 is_a
89 	 17021 	 is_a
89 	 21739 	 is_a
89 	 27598 	 is_a
89 	 40868 	 is_a
89 	 40978 	 is_a
90 	 6772 	 is_a
90 	 9745 	 is_a
90 	 9795 	 is_a
123 	 9795 	 is_a
123 	 28059 	 is_a
123 	 40979 	 is_a
127 	 4362 	 is_a
127 	 40979 	 is_a
128 	 34128 	 is_a
128 	 40979 	 is_a
130 	 4368 	 is_a
130 	 9756 	 is_a
130 	 40977 	 is_a
132 	 10961 	 is_a
134 	 11086 	 is_a
148 	 11109 	 is_a
163 	 10950 	 is_a
167 	 2936 	 is_a
170 	 234 	 is_a
171 	 39167 	 is_a
176 	 3810 	 is_a
177 	 29914 	 is_a
184 	 19840 	 is_a
184 	 40573 	 is_a
188 	 5057 	 is_a
189 	 3689 	 is_a
194 	 6842 	 is_a
194 	 11207 	 is_a
198 	 6634 	 is_a
198 	 10798 	 is_a
203 	 45937 	 is_a
232 	 3692 	 is_a
234 	 4479 	 is_a
237 	 3690 	 is_a
237 	 11203 	 is_a
239 	 11095 	 is_a
239 	 39169 	 is_a
241 	 2847 	 is_a
248 	 11125 	 is_a
249 	 11125 	 is_a
249 	 12563 	 is_a
251 	 9702 	 is_a
251 	 4429 	 is_a
260 	 6634 	 is_a
260 	 7161 	 is_a
272 	 10962 	 is_a
273 	 11176 	 is_a
274 	 11042 	 is_a
274 	 32526 	 is_a
275 	 11042 	 is_a
275 	 32526 	 is_a
276 	 15444 	 is_a
277 	 10950 	 is_a
278 	 10950 	 is_a
279 	 11034 	 is_a
282 	 11129 	 is_a
284 	 4382 	 is_a
284 	 4444 	 is_a
285 	 6772 	 is_a
285 	 9743 	 is_a
285 	 9745 	 is_a
285 	 9795 	 is_a
285 	 10148 	 is_a
286 	 6772 	 is_a
286 	 9743 	 is_a
286 	 9745 	 is_a
286 	 10148 	 is_a
288 	 10398 	 is_a
288 	 40807 	 is_a
291 	 9659 	 is_a
291 	 20175 	 is_a
291 	 23215 	 is_a
293 	 9662 	 is_a
293 	 3177 	 is_a
293 	 23215 	 is_a
